soma_center_1,soma_center_2,soma_angle,soma_polar_angle,axon_bias_1,axon_bias_2,bias_angle,pc_ratio,center_bias_angle,labels_all
322,766,1.23571322910411,0.328847647054587+0.944382986413172i,0.057723979808907,0.99833258093434,88,0.757596813786287,15.8896673963552,VISa
432,684,0.646896681481544,0.797958048340987+0.602712993959682i,-0.801773703185067,0.597627751096703,-36,0.13040315803942,106.235364276467,VISa
313,759,1.26293376832922,0.303022383812831+0.952983438947598i,-0.324561950812552,-0.945864440649267,72,0.79768602574377,178.700187239527,VISa
344,727,1.07524465330907,0.475517034365474+0.879706513576127i,-0.658534354617803,0.752550665263219,-48,0.633128575840916,69.5812093299089,VISa
334,726,1.11588212020252,0.439385247314075+0.898298727842108i,0.994936165413551,0.100508839174365,7,0.561811647314187,58.1668634788145,VISa
329,762,1.20210042413685,0.360399279202163+0.932798134405597i,-0.783059923494464,0.621946264734217,-37,2.95383168646029,72.6663183971999,VISa
166,694,2.0449147573004,-0.456554296231787+0.889695551631174i,0.772632478699355,-0.634853568044546,-38,1.82260336362668,156.574109786177,VISC
157,519,-2.88313771738177,-0.966786030335291-0.25558711146795i,0.51530421108945,-0.857007333710441,-58,4.14349949941114,106.209414006778,VISC
140,690,2.1833338834052,-0.5749455167129+0.818191696860666i,0.991804453656486,-0.127765119289888,-6,0.303882608959336,132.43628291257,VISC
123,544,3.12506523298707,-0.999863425292999+0.0165266681866611i,-0.322076919129629,0.946713503740158,-70,2.12084570147115,70.2644738057182,VISC
159,635,2.31128089472256,-0.674645670629838+0.738141733747941i,-0.300955529595941,-0.953638175203587,73,0.302636290560607,120.058355985331,VISC
113,695,2.27888409601285,-0.650382417226145+0.759606945309925i,-0.770171174950388,0.637837252969391,-39,1.53078500382009,9.79882200127561,VISC
134,562,2.96173915379732,-0.983869910099907+0.178885438199983i,-0.49395208275938,0.869489125830606,-59,0.992466582446268,50.0944803292952,VISC
274,780,1.44540720645338,0.125060808231819+0.992149078639095i,0.26073276419789,-0.965411013855615,-74,0.662612840635968,157.702186395257,VISrl
222,798,1.65652320256564,-0.0856219118234801+0.996327701218676i,0.993100922033528,-0.117262776089244,-6,1.06865240573471,101.64594395957,VISrl
246,809,1.56330583018503,0.00749042656450522+0.999971946361438i,-0.338825677063671,0.940849169932325,-69,1.46636485880198,20.2345179622156,VISrl
233,825,1.60964602766345,-0.0388399289685757+0.999245445282447i,0.645173359728095,-0.764036213734115,-49,2.45853779857561,142.047249265165,VISrl
290,729,1.32959598322003,0.238868394200398+0.971051950336399i,-0.859290092958574,-0.51148854937647,32,0.263866679336049,134.5827939316,VISrl
250,761,1.54340591832003,0.0273869837318728+0.999624906213361i,-0.708976143964637,0.705232463297766,-44,1.15159724196445,46.721027337301,VISrl
210,805,1.69936083810492,-0.128210633660857+0.991746960376628i,-0.126916115299482,-0.991913453723302,84,0.605697688539987,165.34237358999,VISrl
223,813,1.64813255209055,-0.0772591584138089+0.997011044292484i,0.607773780849373,-0.794110213579991,-52,1.104774423584,147.002332998662,VISrl
283,742,1.37821304933498,0.191395051403356+0.981513084119772i,-0.851659750376979,0.524095095939488,-31,0.59644463360601,69.4268634903839,VISrl
271,795,1.46447935614502,0.106116795077569+0.994353672393513i,0.642661275911787,-0.766150431993244,-49,0.945217279908931,133.917934687305,VISrl
300,737,1.29114257247657,0.276022870709801+0.961151067650201i,-0.85050614824711,0.525965105110468,-31,0.484977041881809,74.2897434444563,VISrl
286,763,1.38299070834492,0.186703550023412+0.982416298932716i,-0.9290124680749,0.37004842137399,-21,1.9401969441869,79.0418657210016,VISrl
341,686,0.97800142766607,0.558681242274517+0.829382462758046i,-0.633129172894624,0.774046155232212,-50,0.861671366184491,73.2460122568773,SSp-tr
313,695,1.14712740491738,0.411107753106818+0.911586756889032i,-0.714786927592642,0.699342296835156,-43,1.00933121212885,69.9001809614078,SSp-tr
350,673,0.890494737529378,0.629027503003773+0.777383046165041i,0.295933077229391,0.955208675526737,74,0.279031744032113,21.7649126660715,SSp-tr
362,678,0.856146031151056,0.655353317218009+0.755322467302113i,-0.321378441685548,0.946950842029178,-70,2.00634617922947,59.6927534603718,SSp-tr
422,685,0.676792922927639,0.779585304186869+0.626296058981586i,-0.600402512795739,0.799697957124165,-52,0.204329705604956,88.1213528557116,SSp-tr
367,684,0.856973796586072,0.65472786293609+0.755864687292071i,0.653622685657067,0.756820576355085,50,0.0262405973866862,0.0837212921375796,SSp-tr
382,604,0.422251153451272,0.912168696110691+0.409814921441035i,0.918061326882311,-0.396438393805507,-22,0.553410711265928,47.5489222255199,SSp-ll
384,536,-0.0428309326687273,0.99908289581767-0.0428178383921858i,-0.0860437033441896,0.996291363565306,-84,1.51168733037582,97.3900762380686,SSp-ll
381,588,0.323938734711642,0.947989064020021+0.318302897408182i,-0.751487726417327,0.659747070508174,-40,0.187019185779252,120.159091875955,SSp-ll
389,637,0.580002774207681,0.836461129579753+0.548026257310873i,0.93198438168745,0.362498430742342,22,0.251122087635543,11.9779983562001,SSp-ll
380,546,0.0294032882040051,0.999567754464353+0.0293990516018927i,0.752134021702842,0.659010177005719,42,0.172163305106903,39.5397425696496,SSp-ll
412,586,0.256151382565603,0.967372223380245+0.253359391837683i,-0.0748836174692215,-0.997192280272327,87,0.74868826229961,108.970928409748,SSp-ll
381,574,0.229462667006173,0.973788754282965+0.227454307569744i,-0.445182991390141,0.895439615036618,-63,0.22994735110733,103.287804719888,SSp-ll
399,623,0.481548509986558,0.886278789945259+0.463152141842361i,-0.354886418907787,0.934909423246342,-68,1.26130548741987,83.1957861672949,SSp-ll
385,651,0.658090421526594,0.7911615851791+0.61160718286895i,-0.554152461308132,0.832415190650759,-55,0.825840873079269,85.9465545540438,SSp-ll
411,614,0.407057847879434,0.918289620989376+0.395909297672066i,-0.298445569705491,0.954426656125637,-72,0.855209624930945,84.0415676370421,SSp-ll
