Subject,Session,TimePoint,Outcome,Value
1,1,1,1,1.911407767
1,2,1,1,0.76754386
1,3,1,1,0.523767606
1,4,1,1,1.453761755
1,5,1,1,1.491477273
1,6,1,1,0.918124006
1,7,1,1,0.867117117
1,8,1,1,0.74375
1,9,1,1,1.026995305
1,10,1,1,1.711432507
2,1,1,1,1.343954248
2,2,1,1,0.476762821
2,3,1,1,1.489361702
2,4,1,1,0.927419355
2,5,1,1,0.795454545
3,1,1,1,1.021475771
3,2,1,1,1.481299213
3,3,1,1,1.18767313
3,4,1,1,1.012828162
3,5,1,1,1.018442623
3,6,1,1,0.986111111
3,7,1,1,0.949835526
3,8,1,1,0.981707317
3,9,1,1,1.107594937
4,1,1,1,0.778601695
4,2,1,1,1.3125
4,3,1,1,1.020220588
4,4,1,1,1.722166998
4,5,1,1,0.638020833
4,6,1,1,0.588662791
4,7,1,1,1.09375
4,8,1,1,1.458333333
4,9,1,1,0.875
4,10,1,1,1.159188034
4,11,1,1,0.74312201
1,1,1,2,1.111111111
1,2,1,2,0.729166667
1,3,1,2,0.405092593
1,4,1,2,1.484375
1,5,1,2,0.925480769
1,6,1,2,1.177884615
1,7,1,2,0
1,8,1,2,0.388888889
1,9,1,2,1.203125
1,10,1,2,1.9140625
2,1,1,2,1.266447368
2,2,1,2,0.465425532
2,3,1,2,0
2,4,1,2,0.194444444
2,5,1,2,3.5
3,1,1,2,0.605769231
3,2,1,2,4.772727273
3,3,1,2,1.682692308
3,4,1,2,0.702160494
3,5,1,2,0.9375
3,6,1,2,0.714285714
3,7,1,2,0.625
3,8,1,2,1.5625
3,9,1,2,0.564516129
4,1,1,2,1.331521739
4,2,1,2,3.168103448
4,3,1,2,0.932377049
4,4,1,2,1.294014085
4,5,1,2,0.194444444
4,6,1,2,0.651595745
4,7,1,2,1.484375
4,8,1,2,1.6625
4,9,1,2,0.533536585
4,10,1,2,1.958955224
4,11,1,2,1.604166667
1,1,2,1,2.65473301
1,2,2,1,3.223684211
1,3,2,1,0.647007042
1,4,2,1,2.262931034
1,5,2,1,5.46875
1,6,2,1,2.747416534
1,7,2,1,3.507882883
1,8,2,1,3.80625
1,9,2,1,3.933392019
1,10,2,1,3.410812672
2,1,2,1,2.373366013
2,2,2,1,1.766826923
2,3,2,1,2.140957447
2,4,2,1,1.129032258
2,5,2,1,2.015151515
3,1,2,1,1.387665198
3,2,2,1,1.102362205
3,3,2,1,1.430055402
3,4,2,1,2.130071599
3,5,2,1,1.836065574
3,6,2,1,2.333333333
3,7,2,1,3.0078125
3,8,2,1,1.579268293
3,9,2,1,2.879746835
4,1,2,1,3.105137712
4,2,2,1,1.537162162
4,3,2,1,1.295955882
4,4,2,1,4.018389662
4,5,2,1,0.572916667
4,6,2,1,0.50872093
4,7,2,1,0.860042735
4,8,2,1,1.032986111
4,9,2,1,1.091397849
4,10,2,1,0.93482906
4,11,2,1,2.093301435
1,1,2,2,1.388888889
1,2,2,2,3.645833333
1,3,2,2,0.891203704
1,4,2,2,1.5625
1,5,2,2,4.795673077
1,6,2,2,2.692307692
1,7,2,2,1.988636364
1,8,2,2,2.138888889
1,9,2,2,4.046875
1,10,2,2,3.4453125
2,1,2,2,0.690789474
2,2,2,2,0.372340426
2,3,2,2,0
2,4,2,2,0.972222222
2,5,2,2,1.25
3,1,2,2,0.942307692
3,2,2,2,0.795454545
3,3,2,2,1.458333333
3,4,2,2,2.106481481
3,5,2,2,0.9375
3,6,2,2,1.160714286
3,7,2,2,1.770833333
3,8,2,2,4.84375
3,9,2,2,1.27016129
4,1,2,2,1.711956522
4,2,2,2,1.056034483
4,3,2,2,0.932377049
4,4,2,2,3.450704225
4,5,2,2,0.680555556
4,6,2,2,0.558510638
4,7,2,2,1.640625
4,8,2,2,2.0125
4,9,2,2,0.74695122
4,10,2,2,1.436567164
4,11,2,2,1.09375
