spiral_center_x,spiral_center_y,spiral_radius,spiral_direction,spiral_frame
75,369,100,1,1
189,253,20,-1,1
335,175,10,1,1
98,460,20,1,1
100,326,20,-1,2
480,285,10,-1,3
176,289,10,-1,4
175,355,30,1,6
185,315,20,-1,6
320,268,60,1,6
386,334,10,-1,6
174,370,80,1,7
262,264,10,-1,7
383,355,100,-1,7
190,387,100,1,8
376,370,100,-1,8
224,442,50,1,9
112,509,100,-1,13
294,218,20,1,16
107,418,30,-1,17
196,176,20,-1,17
273,468,20,-1,17
390,421,50,-1,17
477,414,20,1,17
483,470,20,-1,17
100,481,90,1,18
117,365,10,1,19
200,230,10,-1,19
425,362,10,-1,19
200,339,10,1,20
220,370,30,-1,21
297,276,10,-1,24
375,454,10,1,27
368,468,10,-1,27
90,505,100,1,28
294,135,10,-1,29
311,449,10,1,29
93,503,100,1,30
296,415,10,1,31
279,421,30,-1,32
313,402,40,1,32
279,414,30,-1,33
314,392,30,1,33
497,265,80,1,36
98,249,20,-1,37
417,209,40,-1,37
129,236,20,1,37
428,269,20,1,38
350,127,20,-1,39
356,169,20,1,39
451,492,20,1,40
256,157,40,1,40
353,494,90,1,41
109,414,30,-1,42
136,441,20,1,42
339,470,30,1,42
167,263,10,-1,50
336,347,20,-1,50
231,353,30,-1,51
236,373,30,-1,52
129,313,10,-1,59
180,341,50,1,59
233,349,40,-1,59
364,290,50,-1,59
341,176,30,-1,67
450,350,10,-1,67
478,442,30,-1,67
138,435,50,-1,76
416,482,10,1,78
469,378,100,-1,78
211,469,30,-1,80
276,224,20,1,80
296,232,20,-1,80
386,397,80,-1,80
195,403,40,1,81
375,396,100,-1,81
211,408,40,1,82
361,396,70,-1,82
141,174,50,1,94
193,183,40,-1,94
352,164,70,1,96
437,248,50,-1,96
337,144,30,1,97
379,350,40,1,97
458,398,20,1,97
299,130,50,-1,97
421,137,20,-1,98
408,167,20,-1,99
408,190,10,-1,101
160,317,30,1,108
206,298,30,-1,108
158,338,60,1,109
355,332,20,1,109
392,340,30,-1,109
261,264,70,-1,110
399,350,10,-1,110
267,272,20,-1,111
285,309,10,-1,111
326,324,40,1,111
490,444,10,-1,111
237,323,20,-1,112
310,459,20,1,112
329,315,80,1,112
384,249,100,1,112
476,419,20,1,112
491,450,30,-1,112
201,159,10,1,113
215,485,10,-1,113
361,167,40,-1,113
371,222,70,1,113
473,417,40,1,113
198,120,10,-1,113
199,399,20,1,114
418,395,50,-1,114
460,400,40,1,114
159,417,20,1,115
250,213,20,-1,124
112,183,20,1,125
261,149,10,1,125
413,357,80,1,125
448,302,20,1,125
481,401,90,-1,125
419,242,10,-1,125
212,253,80,1,126
346,394,30,1,126
497,413,90,-1,126
201,368,20,-1,127
224,266,90,1,127
337,365,100,1,127
222,353,80,-1,128
236,271,90,1,128
329,346,60,1,128
236,284,40,1,129
234,329,30,-1,129
442,229,40,-1,133
136,288,60,1,134
423,222,60,-1,134
467,312,10,1,134
483,198,20,-1,134
231,329,30,-1,135
241,290,10,1,135
389,185,20,1,135
295,277,10,1,136
370,151,10,1,136
387,157,10,-1,136
393,149,10,-1,137
